# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Itaibigai and titled "Martins visit".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "13 MARTINS VISIT.pdf".

<line_13.1>	isaitaOgi ao gA xai-sai-hIai batIo hi ahoa-O ai-sahaI
<glossing>	Steve_NNP foreigner_NN speak_VB do_VB-old_info-hearsay Martins_NNP 3_PRP night_NN-LOC do_VB-PROHIBITIVE
<translation>	Steve said, "Martins must not go at night."

<line_13.2>	hi pia hoI
<glossing>	3_PRP drunk_JJ become_VB
<translation>	He has become drunk.

<line_13.3>	* iApai boitOhoi bAob-i-sahaxaI
<glossing>	* wood_NN boat_NN hit_VB-transition_vowel-PROHIBITIVE
<translation>	He must not hit wood logs with his boat.

<line_13.4>	hi aigIa gA-sai pagaoakOxoi ao aitA-hoI
<glossing>	3_PRP thus_RB speak_VB-old_info Pagaoakoxoi_NNP foreigner_NN sleep_VB-begin
<translation>	Isabi then said, "He will sleep."

<line_13.5>	ao bagi aIta-hoi-xiI-sog-i-sai-hIai
<glossing>	foreigner_NN customer_NN sleep_VB-move-INTENT-want_VB-transition_vowel-old_info-hearsay
<translation>	Steve wants his customer to sleep.

<line_13.6>	ao ahoahi-O ao hoAop-i-sog-i-sai-hIai poogaIhiai
<glossing>	foreigner_NN tomorrow_NN-LOC foreigner_NN search_VB-??-want-transition_vowel-old_info-hearsay bananas_NN
<translation>	Steve wants to look for bananas tomorrow.

<line_13.7>	isaitaOgi hi bIib-i-hiab-iI-haI
<glossing>	Steve_NNP 3_PRP ??_VB-??-NEG-INTENT-REL_CERT
<translation>	Steve does not intend to send him away.

<line_13.8>	isaitaOgi ao aigIa bagi aitA-hoi-xiI-haI
<glossing>	Steve_NNP foreigner_NN thus_RB customer_NN sleep_VB-move-INTENT-REL_CERT
<translation>	Steve intends for his customer to sleep.

<line_13.9>	ao aigIa his-O iig Aop-aAti-isai-hIai
<glossing>	foreigner_NN thus_RB day_NN-LOC carry_VB go_VB-IMPERATIVE-old_info-hearsay
<translation>	The Brasilian will go by day.

<line_13.10>	ao Atii
<glossing>	foreigner_NN sleep_VB
<translation>	He will sleep.

<line_13.11>	hi aigIa his-O iig-Op-i-aibiga
<glossing>	3_PRP thus_RB day_NN-LOC carry_VB-go-??-nearly
<translation>	Yes, by day he will go on.

<line_13.12>	poogaIhiai ao gA-sai-hIai ahoahi-O ao hoaxA-isai-hIai
<glossing>	bananas_NN foreigner_NN speak_VB-old_info-hearsay tomorrow_NN-LOC foreigner_NN search_VB-old_info-hearsay
<translation>	Steve said, "Tomorrow I will look for Bananas."

<line_13.13>	ao aItii
<glossing>	foreigner_NN sleep_VB
<translation>	He sleeps.

<line_13.14>	hi aigIa ao aitA-hoI-xiI-aibiga
<glossing>	3_PRP thus_RB foreigner_NN sleep_VB-move-INTENT-nearly
<translation>	Yes, he intends to sleep.

<line_13.15>	* poogaIhiai aIt-op-axA-isai
<glossing>	* bananas_NN sleep_VB-go-??-old_info
<translation>	He will take out bananas.

<line_13.16>	ao aItii
<glossing>	foreigner_NN sleep_VB
<translation>	He will sleep.

<line_13.17>	hi aigIa aoI batIo ao aigIa ait-aI-gA-hoI-xiI-haxA
<glossing>	3_PRP thus_RB foreigner_NN Martins_NNP foreigner_NN thus_RB sleep_VB-do-??-move-INTENT-??
<translation>	Yes the Brazilian intends to sleep.

<line_13.18>	ao gA-sai ao xaItii
<glossing>	foreigner_NN speak_VB-old_info foreigner_NN sleep
<translation>	Steve says, he sleeps.

<line_13.19>	* aitA-hoI-xiig-aAti
<glossing>	* sleep_VB-move-continuative-IMPERATIVE
<translation>	You will sleep!

<line_13.20>	gIxai piahoI *
<glossing>	2_PRP drunk_JJ *
<translation>	You are drunk.

<line_13.21>	boitOhoi iApai i bAob-i-sahaxaI-isai
<glossing>	boat_NN wood_NN 3_PRP hit_VB-transition_vowel-PROHIBITIVE-old_info
<translation>	The boat must not hit wood logs.

<line_13.22>	ao aItii
<glossing>	foreigner_NN sleep_VB
<translation>	He will sleep.

<line_13.23>	ao aigIa aitA-hoI-xiI-haI
<glossing>	foreigner_NN thus_RB sleep_VB-move-INTENT-REL_CERT
<translation>	The Brazilian intends to sleep.

<line_13.24>	* his-O iig-Aop-aAti ao bagi ahoA-op-i-sai-hiAi
<glossing>	* day_NN-LOC carry_VB-go-IMPERATIVE foreigner_NN customer_NN talk_VB-go-transition_vowel-old_info-hearsay
<translation>	By day you go, Steve said to his customer.

<line_13.25>	his-O ao hoaxA poogaIhiai-isai
<glossing>	day_NN-LOC foreigner_NN search_VB bananas_NN-old_info
<translation>	By day he will look for bananas.

<line_13.26>	ao aItii
<glossing>	foreigner_NN sleep_VB
<translation>	He will sleep.

<line_13.27>	ao aigIa aitA-a-boI-xiI batIo
<glossing>	foreigner_NN thus_RB sleep_VB-??-move-INTENT Martins_NNP
<translation>	Yes, the Brazilian, Martins, intends to sleep.

<line_13.28>	ao aigIa hi gA-sai ao aitIi
